Nx,Ny,Nz,Sx,Sy,Sz,Roll,Pitch,Yaw,SunFluxX,SunFluxY,SunFluxZ,Octant
-0,-0,-0,51.65324118,32,56.88534676,0,9.1,0,15,8,12,000
-0,-0,-0,51.5538789,32,56.97541199,0,9.2,0,15,8,12,000
-0,-0,-0,51.45435957,32,57.06530365,0,9.3,0,15,8,12,000
-0,-0,-0,51.35468351,32,57.15502149,0,9.4,0,15,8,12,000
-0,-0,-0,51.25485101,32,57.24456523,0,9.5,0,15,8,12,000
-0,-0,-0,51.15486238,32,57.33393458,0,9.6,0,15,8,12,000
-0,-0,-0,51.05471793,32,57.42312929,0,9.7,0,15,8,12,000
-0,-0,-0,50.95441795,32,57.51214908,0,9.8,0,15,8,12,000
-0,-0,-0,50.85396276,32,57.60099367,0,9.9,0,15,8,12,000
-0,-0,-0,50.75335265,32,57.6896628,0,10,0,15,8,12,000
-0,-0,-0,50.65258795,32,57.7781562,0,10.1,0,15,8,12,000
-0,-0,-0,50.55166894,32,57.8664736,0,10.2,0,15,8,12,000
-0,-0,-0,50.45059595,32,57.95461473,0,10.3,0,15,8,12,000
-0,-0,-0,50.34936928,32,58.04257931,0,10.4,0,15,8,12,000
-0,-0,-0,50.24798923,32,58.13036709,0,10.5,0,15,8,12,000
-0,-0,-0,50.14645612,32,58.2179778,0,10.6,0,15,8,12,000
-0,-0,-0,50.04477025,32,58.30541116,0,10.7,0,15,8,12,000
-0,-0,-0,49.94293194,32,58.39266691,0,10.8,0,15,8,12,000
-0,-0,-0,49.8409415,32,58.47974479,0,10.9,0,15,8,12,000
-0,-0,-0,49.73879923,32,58.56664453,0,11,0,15,8,12,000
-0,-0,-0,49.63650545,32,58.65336586,0,11.1,0,15,8,12,000
-0,-0,-0,49.53406046,32,58.73990853,0,11.2,0,15,8,12,000
-0,-0,-0,49.43146459,32,58.82627226,0,11.3,0,15,8,12,000
-0,-0,-0,49.32871814,32,58.9124568,0,11.4,0,15,8,12,000
-0,-0,-0,49.22582143,32,58.99846189,0,11.5,0,15,8,12,000
-0,-0,-0,49.12277476,32,59.08428725,0,11.6,0,15,8,12,000
-0,-0,-0,49.01957846,32,59.16993263,0,11.7,0,15,8,12,000
-0,-0,-0,48.91623284,32,59.25539777,0,11.8,0,15,8,12,000
-0,-0,-0,48.81273821,32,59.34068241,0,11.9,0,15,8,12,000
-0,-0,-0,48.70909488,32,59.42578628,0,12,0,15,8,12,000
-0,-0,-0,48.60530319,32,59.51070914,0,12.1,0,15,8,12,000
-0,-0,-0,48.50136343,32,59.59545071,0,12.2,0,15,8,12,000
-0,-0,-0,48.39727592,32,59.68001075,0,12.3,0,15,8,12,000
-0,-0,-0,48.293041,32,59.76438899,0,12.4,0,15,8,12,000
-0,-0,-0,48.18865896,32,59.84858518,0,12.5,0,15,8,12,000
-0,-0,-0,48.08413013,32,59.93259906,0,12.6,0,15,8,12,000
-0,-0,-0,47.97945483,32,60.01643037,0,12.7,0,15,8,12,000
-0,-0,-0,47.87463337,32,60.10007886,0,12.8,0,15,8,12,000
-0,-0,-0,47.76966608,32,60.18354428,0,12.9,0,15,8,12,000
-0,-0,-0,47.66455328,32,60.26682637,0,13,0,15,8,12,000
-0,-0,-0,47.55929528,32,60.34992488,0,13.1,0,15,8,12,000
-0,-0,-0,47.45389241,32,60.43283954,0,13.2,0,15,8,12,000
-0,-0,-0,47.34834498,32,60.51557012,0,13.3,0,15,8,12,000
-0,-0,-0,47.24265332,32,60.59811636,0,13.4,0,15,8,12,000
-0,-0,-0,47.13681776,32,60.68047801,0,13.5,0,15,8,12,000
-0,-0,-0,47.03083861,32,60.76265481,0,13.6,0,15,8,12,000
-0,-0,-0,46.92471619,32,60.84464652,0,13.7,0,15,8,12,000
-0,-0,-0,46.81845083,32,60.92645289,0,13.8,0,15,8,12,000
-0,-0,-0,46.71204286,32,61.00807366,0,13.9,0,15,8,12,000
