Nx,Ny,Nz,Sx,Sy,Sz,Roll,Pitch,Yaw,SunFluxX,SunFluxY,SunFluxZ,Octant
-0,-0,-0,60,39.18882904,42.33480457,9.1,0,0,15,8,12,000
-0,-0,-0,60,39.26265749,42.26634272,9.2,0,0,15,8,12,000
-0,-0,-0,60,39.33636634,42.19775211,9.3,0,0,15,8,12,000
-0,-0,-0,60,39.40995536,42.12903297,9.4,0,0,15,8,12,000
-0,-0,-0,60,39.48342433,42.06018549,9.5,0,0,15,8,12,000
-0,-0,-0,60,39.55677303,41.99120988,9.6,0,0,15,8,12,000
-0,-0,-0,60,39.63000123,41.92210637,9.7,0,0,15,8,12,000
-0,-0,-0,60,39.70310871,41.85287515,9.8,0,0,15,8,12,000
-0,-0,-0,60,39.77609525,41.78351645,9.9,0,0,15,8,12,000
-0,-0,-0,60,39.84896062,41.71403046,10,0,0,15,8,12,000
-0,-0,-0,60,39.92170461,41.6444174,10.1,0,0,15,8,12,000
-0,-0,-0,60,39.99432699,41.57467749,10.2,0,0,15,8,12,000
-0,-0,-0,60,40.06682754,41.50481094,10.3,0,0,15,8,12,000
-0,-0,-0,60,40.13920604,41.43481795,10.4,0,0,15,8,12,000
-0,-0,-0,60,40.21146227,41.36469875,10.5,0,0,15,8,12,000
-0,-0,-0,60,40.283596,41.29445354,10.6,0,0,15,8,12,000
-0,-0,-0,60,40.35560703,41.22408254,10.7,0,0,15,8,12,000
-0,-0,-0,60,40.42749512,41.15358597,10.8,0,0,15,8,12,000
-0,-0,-0,60,40.49926007,41.08296403,10.9,0,0,15,8,12,000
-0,-0,-0,60,40.57090165,41.01221695,11,0,0,15,8,12,000
-0,-0,-0,60,40.64241964,40.94134494,11.1,0,0,15,8,12,000
-0,-0,-0,60,40.71381383,40.87034822,11.2,0,0,15,8,12,000
-0,-0,-0,60,40.785084,40.79922699,11.3,0,0,15,8,12,000
-0,-0,-0,60,40.85622993,40.72798149,11.4,0,0,15,8,12,000
-0,-0,-0,60,40.9272514,40.65661192,11.5,0,0,15,8,12,000
-0,-0,-0,60,40.9981482,40.5851185,11.6,0,0,15,8,12,000
-0,-0,-0,60,41.06892012,40.51350146,11.7,0,0,15,8,12,000
-0,-0,-0,60,41.13956693,40.441761,11.8,0,0,15,8,12,000
-0,-0,-0,60,41.21008842,40.36989735,11.9,0,0,15,8,12,000
-0,-0,-0,60,41.28048438,40.29791073,12,0,0,15,8,12,000
-0,-0,-0,60,41.3507546,40.22580135,12.1,0,0,15,8,12,000
-0,-0,-0,60,41.42089885,40.15356944,12.2,0,0,15,8,12,000
-0,-0,-0,60,41.49091692,40.08121521,12.3,0,0,15,8,12,000
-0,-0,-0,60,41.56080861,40.00873889,12.4,0,0,15,8,12,000
-0,-0,-0,60,41.6305737,39.9361407,12.5,0,0,15,8,12,000
-0,-0,-0,60,41.70021197,39.86342085,12.6,0,0,15,8,12,000
-0,-0,-0,60,41.76972322,39.79057957,12.7,0,0,15,8,12,000
-0,-0,-0,60,41.83910722,39.71761708,12.8,0,0,15,8,12,000
-0,-0,-0,60,41.90836378,39.64453361,12.9,0,0,15,8,12,000
-0,-0,-0,60,41.97749268,39.57132937,13,0,0,15,8,12,000
-0,-0,-0,60,42.04649371,39.49800459,13.1,0,0,15,8,12,000
-0,-0,-0,60,42.11536666,39.42455949,13.2,0,0,15,8,12,000
-0,-0,-0,60,42.18411131,39.3509943,13.3,0,0,15,8,12,000
